,game_id,season,date,away_team,away_score,home_team,home_score,result,away_elo_i,away_elo_n,home_elo_i,home_elo_n,elo_pred,away_back_to_back,home_back_to_back,a_eFGp,a_FTr,a_ORBp,a_TOVp,h_eFGp,h_FTr,h_ORBp,h_TOVp,elo_diff,favorite_is_home,is_upset,away_streak,away_last_5_win_pct,away_last_10_win_pct,away_last_15_win_pct,home_streak,home_last_5_win_pct,home_last_10_win_pct,home_last_15_win_pct,away_vs_home_win_pct,a_eFGp_10,h_eFGp_10,a_TOVp_10,h_TOVp_10,a_ORBp_10,h_ORBp_10,a_FTr_10,h_FTr_10,eFGp_diff,eFGp_roll_diff,FTr_diff,FTr_roll_diff,ORBp_diff,ORBp_roll_diff,TOVp_diff,TOVp_roll_diff,elo_diff_back_to_back,streak_vs_opp_streak,momentum_factor
12,181910170007,1819,2018-10-17,ATL,107,NYK,126,1,1388.1899001703382,1378.6162695026208,1409.4925317708153,1419.0661624385327,1,False,False,0.5068493150684932,0.1324200913242009,0.1688,0.1325896122896854,0.5158991228070176,0.1293859649122807,0.2101,0.1125226860254083,21.30263160047707,1,0,0,0.5,0.5,0.5,0,0.5,0.5,0.5,0.5,0.5068493150684932,0.5158991228070176,0.1325896122896854,0.1125226860254083,0.1688,0.2101,0.1324200913242009,0.1293859649122807,0.009049807738524374,0.009049807738524374,-0.0030341264119202183,-0.0030341264119202183,0.0413,0.0413,-0.020066926264277113,-0.020066926264277113,0.0,0,0.0
7,181910170010,1819,2018-10-17,MIN,108,SAS,112,1,1539.70212846142,1535.874836809549,1561.1685685057312,1564.9958601576022,1,False,False,0.4926136363636363,0.2181818181818181,0.2211,0.1037155646129771,0.5011415525114156,0.2191780821917808,0.2477,0.1009421265141319,21.466440044311184,1,0,0,0.5,0.5,0.5,0,0.5,0.5,0.5,0.5,0.4926136363636363,0.5011415525114156,0.1037155646129771,0.1009421265141319,0.2211,0.2477,0.2181818181818181,0.2191780821917808,0.008527916147779258,0.008527916147779258,0.0009962640099627218,0.0009962640099627218,0.026600000000000013,0.026600000000000013,-0.002773438098845199,-0.002773438098845199,0.0,0,0.0
4,181910170011,1819,2018-10-17,UTA,123,SAC,117,0,1641.0655160368606,1645.261641487376,1396.1639213120282,1391.9677958615127,0,False,False,0.5606420927467302,0.1985731272294887,0.2386,0.1340039650488288,0.4854651162790697,0.1302325581395348,0.2196,0.1213408160169877,-244.90159472483242,0,0,0,0.5,0.5,0.5,0,0.5,0.5,0.5,0.5,0.5606420927467302,0.4854651162790697,0.1340039650488288,0.1213408160169877,0.2386,0.2196,0.1985731272294887,0.1302325581395348,-0.07517697646766047,-0.07517697646766047,-0.0683405690899539,-0.0683405690899539,-0.019000000000000017,-0.019000000000000017,-0.012663149031841112,-0.012663149031841112,-0.0,0,0.0
13,181910180014,1819,2018-10-18,CHI,108,PHI,127,1,1364.5398888998682,1361.5196761618888,1607.7840714047752,1610.8042841427546,1,False,False,0.4870786516853932,0.1359550561797752,0.2138,0.138200363779022,0.5437100213219617,0.1417910447761194,0.2172,0.1144244105409153,243.24418250490703,1,0,0,0.5,0.5,0.5,-1,0.0,0.0,0.0,0.5,0.4870786516853932,0.5437100213219617,0.138200363779022,0.1144244105409153,0.2138,0.2172,0.1359550561797752,0.1417910447761194,0.05663136963656845,0.05663136963656845,0.005835988596344183,0.005835988596344183,0.003400000000000014,0.003400000000000014,-0.023775953238106703,-0.023775953238106703,0.0,-1,-0.6
14,181910180015,1819,2018-10-18,MIA,113,WAS,112,0,1499.6985394497628,1505.136614392722,1488.4137062103227,1482.9756312673635,1,True,False,0.4944690265486726,0.1626106194690265,0.211,0.1266293567582884,0.5139372822299652,0.164924506387921,0.2314999999999999,0.1364119090343135,-11.284833239440104,0,0,-1,0.0,0.0,0.0,0,0.5,0.5,0.5,0.5,0.4977628635346756,0.5139372822299652,0.1231571377202445,0.1364119090343135,0.2005,0.2314999999999999,0.1666666666666666,0.164924506387921,0.019468255681292568,0.016174418695289572,0.0023138869188945033,-0.0017421602787456025,0.020499999999999907,0.03099999999999989,0.009782552276025092,0.013254771314068992,-11.284833239440104,1,0.6
15,181910180016,1819,2018-10-18,LAL,119,POR,128,1,1491.2458314097537,1487.1457399505905,1587.934068841442,1592.0341603006052,1,False,False,0.5154577883472058,0.2211652794292509,0.2098,0.1380262249827467,0.4927455357142857,0.1618303571428571,0.245,0.116687169838628,96.68823743168832,1,0,0,0.5,0.5,0.5,0,0.5,0.5,0.5,0.5,0.5154577883472058,0.4927455357142857,0.1380262249827467,0.116687169838628,0.2098,0.245,0.2211652794292509,0.1618303571428571,-0.022712252632920094,-0.022712252632920094,-0.05933492228639381,-0.05933492228639381,0.03520000000000001,0.03520000000000001,-0.0213390551441187,-0.0213390551441187,0.0,0,0.0
16,181910190023,1819,2018-10-19,IND,101,MIL,118,1,1550.2211891416912,1538.9476434537285,1516.8088874507412,1528.082433138704,1,False,False,0.5302511415525114,0.1404109589041096,0.2521,0.1164784375116478,0.5229050279329609,0.1888268156424581,0.2238,0.1257304763591287,-33.41230169095002,0,1,1,1.0,1.0,1.0,1,1.0,1.0,1.0,0.5,0.5302511415525114,0.5229050279329609,0.1164784375116478,0.1257304763591287,0.2521,0.2238,0.1404109589041096,0.1888268156424581,-0.0073461136195505095,-0.0073461136195505095,0.0484158567383485,0.0484158567383485,-0.028299999999999992,-0.028299999999999992,0.009252038847480909,0.009252038847480909,-0.0,0,0.0
24,181910190021,1819,2018-10-19,SAC,129,NOP,149,1,1391.9677958615127,1388.0782162924538,1596.515812417773,1600.405391986832,1,False,False,0.4895591647331787,0.1334106728538283,0.2049,0.117330911017751,0.5459016393442623,0.1508196721311475,0.2268,0.1243517832574875,204.54801655626034,1,0,-1,0.0,0.0,0.0,1,1.0,1.0,1.0,0.5,0.4895591647331787,0.5459016393442623,0.117330911017751,0.1243517832574875,0.2049,0.2268,0.1334106728538283,0.1508196721311475,0.056342474611083604,0.056342474611083604,0.017408999277319204,0.017408999277319204,0.021900000000000003,0.021900000000000003,0.007020872239736492,0.007020872239736492,0.0,2,1.2
18,181910190024,1819,2018-10-19,OKC,92,LAC,108,1,1584.1643921807004,1570.6638679640816,1495.0531666824024,1508.5536908990211,1,False,False,0.492196209587514,0.2530657748049052,0.2686,0.1086356738860532,0.5035128805620609,0.2072599531615925,0.2583,0.1274777362826773,-89.11122549829793,0,1,-1,0.0,0.0,0.0,-1,0.0,0.0,0.0,0.5,0.4977553310886645,0.5098722415795587,0.108759962412557,0.1234082129059951,0.2568,0.2662,0.2491582491582491,0.2067363530778165,0.011316670974546916,0.012116910490894195,-0.04580582164331273,-0.04242189608043262,-0.010300000000000031,0.00940000000000002,0.0188420623966241,0.014648250493438097,-0.0,0,0.0
19,181910190022,1819,2018-10-19,BOS,101,TOR,113,1,1573.705071006019,1568.041181075569,1641.243111782813,1646.9070017132626,1,False,False,0.5017462165308497,0.1862630966239813,0.2289999999999999,0.1276822457378013,0.5373725934314836,0.1234428086070215,0.2134,0.1171134327248392,67.5380407767941,1,0,1,1.0,1.0,1.0,1,1.0,1.0,1.0,0.5,0.5017462165308497,0.5364880273660205,0.1276822457378013,0.1181571210598786,0.2289999999999999,0.2073,0.1862630966239813,0.1334093500570125,0.03562637690063386,0.034741810835170805,-0.0628202880169598,-0.05285374656696881,-0.015599999999999892,-0.021699999999999886,-0.010568813012962086,-0.009525124677922686,0.0,0,0.0
