,game_id,season,date,away_team,away_score,home_team,home_score,result,a_eFGp,a_FTr,a_ORBp,a_TOVp,h_eFGp,h_FTr,h_ORBp,h_TOVp
51,131411050052,1314,2013-11-05,UTA,88,BRK,104,1,0.4428571428571428,0.236734693877551,0.3236666666666666,0.1681614349775784,0.4623430962343096,0.2510460251046025,0.2146666666666667,0.1413671776828348
52,131411050053,1314,2013-11-05,IND,99,DET,91,0,0.5022935779816513,0.2844036697247706,0.2326666666666666,0.1805985552115583,0.5102880658436214,0.2469135802469135,0.328,0.1711722346830362
53,131411050054,1314,2013-11-05,CHO,102,NYK,97,0,0.4156378600823045,0.2263374485596707,0.2186666666666666,0.1102015113350125,0.4776422764227642,0.1463414634146341,0.2523333333333333,0.1664782007789923
54,131411050055,1314,2013-11-05,PHO,104,NOP,98,0,0.4796747967479675,0.2073170731707317,0.3003333333333333,0.1645538761579717,0.4444444444444445,0.242063492063492,0.2863333333333334,0.1337386018237082
55,131411050056,1314,2013-11-05,LAL,104,DAL,123,1,0.4660056657223796,0.2011331444759206,0.2135,0.1316713483146067,0.4961089494163423,0.3073929961089494,0.2626666666666666,0.1308900523560209
56,131411050057,1314,2013-11-05,SAS,102,DEN,94,0,0.5151515151515151,0.0946969696969697,0.207,0.1219817340172651,0.4241573033707865,0.196629213483146,0.275,0.0989030749865132
57,131411050058,1314,2013-11-05,HOU,116,POR,101,0,0.5469798657718121,0.3523489932885906,0.31675,0.1665449899616718,0.5169811320754717,0.169811320754717,0.2603333333333333,0.1102535832414553
58,131411050059,1314,2013-11-05,ATL,105,SAC,100,0,0.5205761316872428,0.2510288065843621,0.1596666666666666,0.1263560157790927,0.4412955465587045,0.242914979757085,0.2656666666666666,0.1160747898105157
59,131411060060,1314,2013-11-06,TOR,90,CHO,92,1,0.470679012345679,0.2314814814814814,0.33725,0.141033940627023,0.4299363057324841,0.2834394904458598,0.26925,0.1328423603989932
60,131411060061,1314,2013-11-06,CHI,80,IND,97,1,0.4543650793650793,0.2063492063492063,0.3063333333333333,0.1622401153707487,0.5223367697594502,0.2611683848797251,0.20475,0.1799610894941634
61,131411060062,1314,2013-11-06,LAC,90,ORL,98,1,0.5692771084337349,0.2951807228915662,0.28425,0.1309946714031971,0.5184659090909091,0.1534090909090909,0.2535,0.1498193355071825
62,131411060063,1314,2013-11-06,WAS,116,PHI,102,0,0.4940944881889763,0.1811023622047244,0.3306666666666666,0.1579261025029797,0.514367816091954,0.1781609195402299,0.23925,0.1634689839112105
63,131411060064,1314,2013-11-06,UTA,87,BOS,97,1,0.4327217125382263,0.2446483180428134,0.34375,0.1695437731196054,0.4842657342657342,0.2552447552447552,0.242,0.1937794348508634
64,131411060065,1314,2013-11-06,NOP,99,MEM,84,0,0.456973293768546,0.2225519287833827,0.26225,0.1309261300992282,0.4924471299093655,0.2205438066465256,0.25475,0.1564909734192143
65,131411060066,1314,2013-11-06,CLE,104,MIL,109,1,0.4270833333333333,0.1845238095238095,0.2525,0.1525917828186207,0.4731404958677686,0.2024793388429751,0.2033333333333333,0.1373100012773023
66,131411060067,1314,2013-11-06,GSW,106,MIN,93,0,0.5833333333333334,0.1909090909090909,0.2104999999999999,0.1764495666934691,0.4557142857142857,0.2914285714285714,0.241,0.1247955934245632
67,131411060068,1314,2013-11-06,PHO,96,SAS,99,1,0.5030864197530864,0.2006172839506173,0.27,0.1601522607000278,0.5085714285714286,0.1228571428571428,0.20175,0.1277524853665335
